: noop	635 ;
: dup	636 ;
: 2drop	642 ;
: drop	644 ;
: invert	657 ;
: flip	662 ;
: 1+	664 ;
: 1-	669 ;
: swap	692 ;
: over	700 ;
: c@i	709 ;
: @i	714 ;
: c!	720 ;
: c!i	720 ;
: !	727 ;
: !i	727 ;
: c@d	737 ;
: @d	745 ;
: c!d	754 ;
: !d	764 ;
: c@	779 ;
: c@p	786 ;
: @	794 ;
: @p	801 ;
: +	812 ;
: and	819 ;
: or	826 ;
: xor	833 ;
: -	840 ;
: 2*	850 ;
: 2/	856 ;
: 2+	863 ;
: abs	867 ;
: negate	872 ;
: um*	877 ;
: *	939 ;
: um/mod	943 ;
: /mod	1009 ;
: mod	1017 ;
: /	1021 ;
: 0<	1026 ;
: =	1034 ;
: 0=	1036 ;
: not	1036 ;
: u>	1044 ;
: u<	1046 ;
: >	1058 ;
: <	1060 ;
: (>r)	1076 ;
: (r>)	1091 ;
: (r@)	1106 ;
: */	1117 ;
: execute	1128 ;
: abort	1177 ;
: emit	1190 ;
: key	1199 ;
: key?	1211 ;
: min	1220 ;
: max	1234 ;
: depth	1248 ;
: (exec:)	1268 ;
: number	1322 ;
: perform	1330 ;
: quit	1342 ;
: cr	1397 ;
: count	1409 ;
: type	1417 ;
: (.hex)	1429 ;
: .hex	1438 ;
: (hb.)	1442 ;
: h.	1456 ;
: hb.	1462 ;
: space	1464 ;
: dot	1470 ;
: .	1499 ;
: u.	1512 ;
: .nibble	1516 ;
: (bb.)	1555 ;
: bb.	1565 ;
: b.	1573 ;
: dump	1587 ;
: countd	1655 ;
: dumpd	1667 ;
: .s?	1735 ;
: .s	1836 ;
: .sh	1842 ;
: .su	1848 ;
: clear	1854 ;
: mark-stacks	1857 ;
: init	1875 ;
: zeroes	1917 ;
: P0++	1930 ;
: P1++	1933 ;
: P2++	1936 ;
: P3++	1939 ;
: blink	1942 ;
: p00+	1964 ;
: p15+	1967 ;
: p17+	1970 ;
: p00-	1973 ;
: p15-	1976 ;
: p17-	1979 ;
: go	1982 ;
