: noop	691 ;
: dup	692 ;
: 2drop	698 ;
: drop	700 ;
: invert	713 ;
: flip	718 ;
: 1+	720 ;
: 1-	725 ;
: swap	748 ;
: over	756 ;
: c@i	765 ;
: @i	770 ;
: c!	776 ;
: c!i	776 ;
: !	783 ;
: !i	783 ;
: c@d	793 ;
: @d	801 ;
: c!d	810 ;
: !d	820 ;
: c@	835 ;
: c@p	842 ;
: @	850 ;
: @p	857 ;
: +	868 ;
: and	875 ;
: or	882 ;
: xor	889 ;
: -	896 ;
: 2*	906 ;
: 2/	912 ;
: 2+	919 ;
: abs	923 ;
: negate	928 ;
: um*	933 ;
: *	995 ;
: um/mod	999 ;
: /mod	1065 ;
: mod	1073 ;
: /	1077 ;
: 0<	1082 ;
: =	1090 ;
: 0=	1092 ;
: not	1092 ;
: u>	1100 ;
: u<	1102 ;
: >	1120 ;
: <	1122 ;
: (>r)	1151 ;
: (r>)	1166 ;
: (r@)	1181 ;
: */	1192 ;
: execute	1203 ;
: abort	1252 ;
: emit	1265 ;
: key	1274 ;
: key?	1286 ;
: min	1295 ;
: max	1309 ;
: depth	1323 ;
: (exec:)	1343 ;
: number	1397 ;
: perform	1405 ;
: quit	1417 ;
: cr	1472 ;
: count	1484 ;
: type	1492 ;
: (.hex)	1504 ;
: .hex	1513 ;
: (hb.)	1517 ;
: h.	1531 ;
: hb.	1537 ;
: space	1539 ;
: dot	1545 ;
: .	1574 ;
: u.	1587 ;
: .nibble	1591 ;
: (bb.)	1630 ;
: bb.	1640 ;
: b.	1648 ;
: dump	1662 ;
: countd	1730 ;
: dumpd	1742 ;
: .s?	1810 ;
: .s	1911 ;
: .sh	1917 ;
: .su	1923 ;
: clear	1929 ;
: main	179 ;
