: noop	691 ;
: dup	692 ;
: 2drop	698 ;
: drop	700 ;
: invert	713 ;
: flip	718 ;
: 1+	720 ;
: 1-	725 ;
: swap	748 ;
: over	756 ;
: c@i	765 ;
: @i	770 ;
: c!	776 ;
: c!i	776 ;
: !	783 ;
: !i	783 ;
: c@d	793 ;
: @d	801 ;
: c!d	810 ;
: !d	820 ;
: c@	835 ;
: c@p	842 ;
: @	850 ;
: @p	857 ;
: +	868 ;
: and	875 ;
: or	882 ;
: xor	889 ;
: -	896 ;
: 2*	906 ;
: 2/	912 ;
: 2+	919 ;
: abs	923 ;
: negate	928 ;
: um*	933 ;
: *	995 ;
: um/mod	999 ;
: /mod	1065 ;
: mod	1073 ;
: /	1077 ;
: 0<	1082 ;
: =	1090 ;
: 0=	1092 ;
: not	1092 ;
: u>	1100 ;
: u<	1102 ;
: >	1120 ;
: <	1122 ;
: push	1151 ;
: >r	1151 ;
: pop	1166 ;
: r>	1166 ;
: i	1181 ;
: r@	1181 ;
: */	1192 ;
: execute	1203 ;
: abort	1252 ;
: emit	1265 ;
: key	1274 ;
: key?	1286 ;
: min	1295 ;
: max	1309 ;
: depth	1323 ;
: exec:	1337 ;
: number	1349 ;
: perform	1356 ;
: quit	1368 ;
: key	1423 ;
: key?	1431 ;
: cr	1439 ;
: count	1451 ;
: type	1459 ;
: (.hex)	1471 ;
: .hex	1480 ;
: (hb.)	1484 ;
: h.	1498 ;
: hb.	1503 ;
: space	1505 ;
: dot	1511 ;
: .	1540 ;
: u.	1553 ;
: dump	1557 ;
: countd	1625 ;
: dumpd	1637 ;
: .s?	1705 ;
: .s	1785 ;
: .sh	1791 ;
: .su	1797 ;
: clear	1803 ;
