: noop	691 ;
: dup	692 ;
: 2drop	698 ;
: drop	700 ;
: invert	713 ;
: flip	718 ;
: 1+	720 ;
: 1-	725 ;
: swap	748 ;
: over	756 ;
: c@i	765 ;
: @i	770 ;
: c!	776 ;
: c!i	776 ;
: !	783 ;
: !i	783 ;
: c@d	793 ;
: @d	801 ;
: c!d	810 ;
: !d	820 ;
: c@	835 ;
: c@p	842 ;
: @	850 ;
: @p	857 ;
: +	868 ;
: and	875 ;
: or	882 ;
: xor	889 ;
: -	896 ;
: 2*	906 ;
: 2/	912 ;
: 2+	919 ;
: abs	923 ;
: negate	928 ;
: um*	933 ;
: *	995 ;
: um/mod	999 ;
: /mod	1065 ;
: mod	1073 ;
: /	1077 ;
: 0<	1082 ;
: =	1090 ;
: 0=	1092 ;
: not	1092 ;
: u>	1100 ;
: u<	1102 ;
: >	1114 ;
: <	1116 ;
: (>r)	1132 ;
: (r>)	1147 ;
: (r@)	1162 ;
: */	1173 ;
: execute	1184 ;
: abort	1233 ;
: emit	1246 ;
: key	1255 ;
: key?	1267 ;
: min	1276 ;
: max	1290 ;
: depth	1304 ;
: (exec:)	1324 ;
: number	1378 ;
: perform	1386 ;
: quit	1398 ;
: cr	1453 ;
: count	1465 ;
: type	1473 ;
: (.hex)	1485 ;
: .hex	1494 ;
: (hb.)	1498 ;
: h.	1512 ;
: hb.	1518 ;
: space	1520 ;
: dot	1526 ;
: .	1555 ;
: u.	1568 ;
: .nibble	1572 ;
: (bb.)	1611 ;
: bb.	1621 ;
: b.	1629 ;
: dump	1643 ;
: countd	1711 ;
: dumpd	1723 ;
: .s?	1791 ;
: .s	1892 ;
: .sh	1898 ;
: .su	1904 ;
: clear	1910 ;
: mark-stacks	1913 ;
: multipliers	1931 ;
: num	1974 ;
: testone	1982 ;
: test	2031 ;
