: noop	611 ;
: dup	612 ;
: 2drop	618 ;
: drop	620 ;
: invert	633 ;
: flip	638 ;
: 1+	640 ;
: 1-	645 ;
: swap	668 ;
: over	676 ;
: c@i	685 ;
: @i	690 ;
: c!	696 ;
: c!i	696 ;
: !	703 ;
: !i	703 ;
: c@d	713 ;
: @d	721 ;
: c!d	730 ;
: !d	740 ;
: c@	755 ;
: c@p	762 ;
: @	770 ;
: @p	777 ;
: +	788 ;
: and	795 ;
: or	802 ;
: xor	809 ;
: -	816 ;
: 2*	826 ;
: 2/	832 ;
: 2+	839 ;
: abs	843 ;
: negate	848 ;
: um*	853 ;
: *	915 ;
: um/mod	919 ;
: /mod	985 ;
: mod	993 ;
: /	997 ;
: 0<	1002 ;
: =	1010 ;
: 0=	1012 ;
: not	1012 ;
: u>	1020 ;
: u<	1022 ;
: >	1040 ;
: <	1042 ;
: (>r)	1071 ;
: (r>)	1086 ;
: (r@)	1101 ;
: */	1112 ;
: execute	1123 ;
: abort	1172 ;
: emit	1185 ;
: key	1194 ;
: key?	1206 ;
: min	1215 ;
: max	1229 ;
: depth	1243 ;
: (exec:)	1263 ;
: number	1317 ;
: perform	1325 ;
: quit	1337 ;
: cr	1392 ;
: count	1404 ;
: type	1412 ;
: (.hex)	1424 ;
: .hex	1433 ;
: (hb.)	1437 ;
: h.	1451 ;
: hb.	1457 ;
: space	1459 ;
: dot	1465 ;
: .	1494 ;
: u.	1507 ;
: .nibble	1511 ;
: (bb.)	1550 ;
: bb.	1560 ;
: b.	1568 ;
: dump	1582 ;
: countd	1650 ;
: dumpd	1662 ;
: .s?	1730 ;
: .s	1831 ;
: .sh	1837 ;
: .su	1843 ;
: clear	1849 ;
