: noop	635 ;
: dup	636 ;
: 2drop	642 ;
: drop	644 ;
: invert	657 ;
: flip	662 ;
: 1+	664 ;
: 1-	669 ;
: swap	692 ;
: over	700 ;
: c@i	709 ;
: @i	714 ;
: c!	720 ;
: c!i	720 ;
: !	727 ;
: !i	727 ;
: c@d	737 ;
: @d	745 ;
: c!d	754 ;
: !d	764 ;
: c@	779 ;
: c@p	786 ;
: @	794 ;
: @p	801 ;
: +	812 ;
: and	819 ;
: or	826 ;
: xor	833 ;
: -	840 ;
: 2*	850 ;
: 2/	856 ;
: 2+	863 ;
: abs	867 ;
: negate	872 ;
: um*	877 ;
: *	939 ;
: um/mod	943 ;
: /mod	1009 ;
: mod	1017 ;
: /	1021 ;
: 0<	1026 ;
: =	1034 ;
: 0=	1036 ;
: not	1036 ;
: u>	1044 ;
: u<	1046 ;
: >	1064 ;
: <	1066 ;
: (>r)	1095 ;
: (r>)	1110 ;
: (r@)	1125 ;
: */	1136 ;
: execute	1147 ;
: abort	1196 ;
: emit	1209 ;
: key	1218 ;
: key?	1230 ;
: min	1239 ;
: max	1253 ;
: depth	1267 ;
: (exec:)	1287 ;
: number	1341 ;
: perform	1349 ;
: quit	1361 ;
: cr	1416 ;
: count	1428 ;
: type	1436 ;
: (.hex)	1448 ;
: .hex	1457 ;
: (hb.)	1461 ;
: h.	1475 ;
: hb.	1481 ;
: space	1483 ;
: dot	1489 ;
: .	1518 ;
: u.	1531 ;
: .nibble	1535 ;
: (bb.)	1574 ;
: bb.	1584 ;
: b.	1592 ;
: dump	1606 ;
: countd	1674 ;
: dumpd	1686 ;
: .s?	1754 ;
: .s	1855 ;
: .sh	1861 ;
: .su	1867 ;
: clear	1873 ;
: mark-stacks	1876 ;
