: noop	611 ;
: dup	612 ;
: 2drop	618 ;
: drop	620 ;
: invert	633 ;
: flip	638 ;
: 1+	640 ;
: 1-	645 ;
: swap	668 ;
: over	676 ;
: c@i	685 ;
: @i	690 ;
: c!	696 ;
: c!i	696 ;
: !	703 ;
: !i	703 ;
: c@d	713 ;
: @d	721 ;
: c!d	730 ;
: !d	740 ;
: c@	755 ;
: c@p	762 ;
: @	770 ;
: @p	777 ;
: +	788 ;
: and	795 ;
: or	802 ;
: xor	809 ;
: -	816 ;
: 2*	826 ;
: 2/	832 ;
: 2+	839 ;
: abs	843 ;
: negate	848 ;
: um*	853 ;
: *	915 ;
: um/mod	919 ;
: /mod	985 ;
: mod	993 ;
: /	997 ;
: 0<	1002 ;
: =	1010 ;
: 0=	1012 ;
: not	1012 ;
: u>	1020 ;
: u<	1022 ;
: >	1034 ;
: <	1036 ;
: (>r)	1052 ;
: (r>)	1067 ;
: (r@)	1082 ;
: */	1093 ;
: execute	1104 ;
: abort	1153 ;
: emit	1166 ;
: key	1175 ;
: key?	1187 ;
: min	1196 ;
: max	1210 ;
: depth	1224 ;
: (exec:)	1244 ;
: number	1298 ;
: perform	1306 ;
: quit	1318 ;
: cr	1373 ;
: count	1385 ;
: type	1393 ;
: (.hex)	1405 ;
: .hex	1414 ;
: (hb.)	1418 ;
: h.	1432 ;
: hb.	1438 ;
: space	1440 ;
: dot	1446 ;
: .	1475 ;
: u.	1488 ;
: .nibble	1492 ;
: (bb.)	1531 ;
: bb.	1541 ;
: b.	1549 ;
: dump	1563 ;
: countd	1631 ;
: dumpd	1643 ;
: .s?	1711 ;
: .s	1812 ;
: .sh	1818 ;
: .su	1824 ;
: clear	1830 ;
: .u<.	1833 ;
: .<.	1845 ;
: u<=	1861 ;
: .u>.	1872 ;
